Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Station_Number,Flood?
0,Barisal,1990,1,29.9,12.5,0,83,0.3,0.5,41950,0
1,Barisal,1990,2,31.7,17.4,79,81,0.4,3.2,41950,0
2,Barisal,1990,3,33.6,19,182,82,0.7,4,41950,0
3,Barisal,1990,4,34.6,22.9,139,82,1.9,4.8,41950,0
4,Barisal,1990,5,35,24.3,352,85,0.7,5.3,41950,1
5,Barisal,1990,6,39.4,25.4,386,89,1.4,6.4,41950,1
6,Barisal,1990,7,32.5,25.4,457,92,1,6.9,41950,1
7,Barisal,1990,8,34,25.6,299,87,1,5.6,41950,1
8,Barisal,1990,9,34,25.2,190,89,0.8,5.7,41950,0
9,Barisal,1990,10,33.6,22.6,194,86,0.5,4,41950,0
10,Barisal,1990,11,33,20.1,70,85,0.2,2.9,41950,0
11,Barisal,1990,12,29.2,13.9,30,82,0.2,1.5,41950,0
12,Barisal,1991,1,28.6,12.1,10,82,0.2,1.6,41950,0
13,Barisal,1991,2,33.2,16.5,14,80,0.5,1,41950,0
14,Barisal,1991,3,36.2,21.8,38,78,0.6,1.9,41950,0
15,Barisal,1991,4,36,24.3,53,79,1.5,4.2,41950,0
16,Barisal,1991,5,33.5,24.5,191,86,2.5,6.1,41950,0
17,Barisal,1991,6,34.4,25.1,562,90,1.3,6.6,41950,1
18,Barisal,1991,7,33.3,25.7,356,88,1.5,6.5,41950,1
19,Barisal,1991,8,35.5,25.3,369,89,1.2,6.7,41950,1
20,Barisal,1991,9,33.5,25,232,90,0.6,6.4,41950,1
21,Barisal,1991,10,33.5,23.7,497,89,0.5,4.5,41950,1
22,Barisal,1991,11,30.5,17.9,54,82,0.2,2.2,41950,0
23,Barisal,1991,12,29.4,13.4,16,82,0.2,1.8,41950,0
24,Barisal,1992,1,28,11.6,4,81,0.2,0.6,41950,0
25,Barisal,1992,2,29.5,15.3,98,82,0.6,2,41950,0
26,Barisal,1992,3,36,22.2,0,77,1.3,2.2,41950,0
27,Barisal,1992,4,37.8,25.3,1,79,1.9,2.9,41950,0
28,Barisal,1992,5,35.5,23.9,205,83,1.3,4.1,41950,0
29,Barisal,1992,6,35,25.9,190,88,1.2,5.5,41950,0
30,Barisal,1992,7,35.5,25.5,299,90,1.3,6.9,41950,1
31,Barisal,1992,8,34.3,25.3,326,91,1.2,6.1,41950,1
32,Barisal,1992,9,34.8,25.4,210,88,0.8,4.7,41950,0
33,Barisal,1992,10,34,23.6,98,88,0.4,3.2,41950,0
34,Barisal,1992,11,32.5,18.8,8,83,0.1,3.2,41950,0
35,Barisal,1992,12,28,12.2,0,82,0.3,0.5,41950,0
36,Barisal,1993,1,28.5,11.6,1,83,0.2,0.8,41950,0
37,Barisal,1993,2,31.6,16.3,35,83,0.7,1.2,41950,0
38,Barisal,1993,3,35.5,18.4,173,77,0.8,2,41950,0
39,Barisal,1993,4,36,22.6,216,83,1.2,3.9,41950,0
40,Barisal,1993,5,34.5,23.8,352,87,1.6,5.2,41950,1
41,Barisal,1993,6,34.4,25.5,384,89,2.1,6.1,41950,1
42,Barisal,1993,7,33.2,25.5,408,90,2.1,6.4,41950,1
43,Barisal,1993,8,33.8,25.7,556,91,1.5,6.6,41950,1
44,Barisal,1993,9,34.6,25,245,89,0.9,5.9,41950,0
45,Barisal,1993,10,33.5,23.9,134,87,0.3,3.5,41950,0
46,Barisal,1993,11,31.2,18.9,12,86,0.1,1.3,41950,0
47,Barisal,1993,12,29.5,13.8,0,81,0.2,1.3,41950,0
48,Barisal,1994,1,29.6,12.2,4,71,0.4,0.4,41950,0
49,Barisal,1994,2,31,14.6,13,72,0.4,1.4,41950,0
50,Barisal,1994,3,34.8,21.3,92,73,1.3,2.5,41950,0
51,Barisal,1994,4,36.5,23.1,101,77,0.8,3.5,41950,0
52,Barisal,1994,5,36.2,25.1,178,83,1,4.2,41950,0
53,Barisal,1994,6,35.5,25.5,571,89,1.2,6.4,41950,1
54,Barisal,1994,7,33.2,25.7,202,88,1.3,6.4,41950,1
55,Barisal,1994,8,33,25.4,378,88,1.1,6.4,41950,1
56,Barisal,1994,9,34.4,24.7,144,83,0.8,4.5,41950,0
57,Barisal,1994,10,34,23.3,87,80,0.1,2.9,41950,0
58,Barisal,1994,11,32.4,18.6,7,78,0.2,2.8,41950,0
59,Barisal,1994,12,30.1,12,0,76,0.2,0.5,41950,0
60,Barisal,1995,1,29,10.7,1,73,0.4,1.7,41950,0
